Yr,Mon,Day,Hr,Min,CH4,C2H6
2012,10,11,7,10,1951.16,4.23515
2012,10,11,7,15,1949.29,3.61012
2012,10,11,7,20,1949.17,3.74126
2012,10,11,7,25,1948.74,3.76852
2012,10,11,7,30,1949.64,3.69061
2012,10,11,7,35,1950.96,2.92286
2012,10,11,7,40,1957.5,1.86214
2012,10,11,7,45,1959.81,2.82863
2012,10,11,7,50,1964.08,3.08417
2012,10,11,7,55,1958.63,2.78427
2012,10,11,8,0,1958.65,3.02989
2012,10,11,8,5,1961.9,3.15
2012,10,11,8,10,1957.28,2.78682
2012,10,11,8,15,1957.69,2.8995
2012,10,11,8,20,1958.65,3.28917
2012,10,11,8,25,1959.21,2.41929
2012,10,11,8,30,1958.91,3.35189
2012,10,11,8,35,1959.46,2.91049
2012,10,11,8,40,1964.64,3.08779
2012,10,11,8,45,1963.17,3.44539
2012,10,11,8,50,1970.08,3.2452
2012,10,11,8,55,1962.99,2.86282
2012,10,11,9,0,1966.13,3.08395
2012,10,11,9,5,1967.15,2.94027
2012,10,11,9,10,1968.77,3.03805
2012,10,11,9,15,1967.93,3.15484
2012,10,11,9,20,1964.13,3.72177
2012,10,11,9,25,1960.51,3.18243
2012,10,11,9,30,1968.2,3.00601
2012,10,11,9,35,1969.09,3.3265
2012,10,11,9,40,1964.96,4.12329
2012,10,11,9,45,1968.91,4.3965
2012,10,11,9,50,1980.9,4.60431
2012,10,11,9,55,1964.6,4.099
2012,10,11,10,0,1960.46,3.48689
2012,10,11,10,5,1960.34,3.17647
2012,10,11,10,10,1955.05,3.35222
2012,10,11,10,15,1957.48,2.77402
2012,10,11,10,20,1963.97,2.4837
2012,10,11,10,25,1977.61,3.13689
2012,10,11,10,30,2000.73,4.40766
2012,10,11,10,35,2009.48,4.59449
2012,10,11,10,40,2004.44,4.2112
2012,10,11,10,45,2003.05,5.05337
2012,10,11,10,50,2012,5.05631
2012,10,11,10,55,2029.45,5.50205
2012,10,11,11,0,2029.07,5.36593
2012,10,11,11,5,2027.06,5.12722
2012,10,11,11,10,2026.51,5.56293
2012,10,11,11,15,2023.51,5.2381
2012,10,11,11,20,2016.68,5.2759
2012,10,11,11,25,2004.61,5.30363
2012,10,11,11,30,2002.74,4.3589
2012,10,11,11,35,2002.09,3.98066
2012,10,11,11,40,1997.08,4.20221
2012,10,11,11,45,1991.61,4.12857
2012,10,11,11,50,1983.84,3.71999
2012,10,11,11,55,1978.3,2.53229
2012,10,11,12,0,1977.68,2.90572
2012,10,11,12,5,1972.18,3.11512
2012,10,11,12,10,1970.44,3.0024
2012,10,11,12,15,1975.86,3.9586
2012,10,11,12,20,1973.81,4.85739
2012,10,11,12,25,1971.62,3.99765
2012,10,11,12,30,1964.17,3.45304
2012,10,11,12,35,1965.56,3.15229
2012,10,11,12,40,1962.05,3.13622
2012,10,11,12,45,1960.79,3.91371
2012,10,11,12,50,1956.38,2.4868
2012,10,11,12,55,1957.18,2.01157
2012,10,11,13,0,1952.68,2.57917
2012,10,11,13,5,1945.44,1.17211
2012,10,11,13,10,1947.9,2.03436
2012,10,11,13,15,1944.59,2.3983
2012,10,11,13,20,1951.91,1.30899
2012,10,11,13,25,1953.3,1.52967
2012,10,11,13,30,1946.24,1.54322
2012,10,11,13,35,1940.03,2.02391
2012,10,11,13,40,1943.12,1.39001
2012,10,11,13,45,1945.85,1.16422
2012,10,11,13,50,1942.07,1.99912
2012,10,11,13,55,1937.01,1.64901
2012,10,11,14,0,1938.7,1.36427
2012,10,11,14,5,1940.49,2.88858
2012,10,11,14,10,2024.49,5.30882
2012,10,11,14,15,1949.62,3.0102
2012,10,11,14,20,1921.16,2.74693
2012,10,11,14,25,1924.16,3.13447
2012,10,11,14,30,1930.81,2.44804
2012,10,11,14,35,1933.37,5.11888
2012,10,11,14,40,NA,2.9594
2012,10,11,14,45,1929.02,4.36162
2012,10,11,14,50,1925.34,2.87686
2012,10,11,14,55,1920.53,4.6945
2012,10,11,15,0,1934.26,3.72382
2012,10,11,15,5,1929.1,-0.299765
2012,10,11,15,10,1924.57,1.2855
2012,10,11,15,15,1924.16,1.87454
2012,10,11,15,20,1923.11,1.23456
2012,10,11,15,25,1929.27,0.372675
2012,10,11,15,30,1928.56,1.64384
2012,10,11,15,35,1929.78,4.91304
2012,10,11,15,40,1925.65,5.05622
2012,10,11,15,45,1921.99,2.56638
2012,10,11,15,50,1920.05,4.12599
2012,10,11,15,55,1923.64,2.94313
2012,10,11,16,0,1917.16,2.2263
2012,10,11,16,5,1915.95,4.41104
2012,10,11,16,10,1914.49,2.77559
2012,10,11,16,15,1915.6,1.34676
2012,10,11,16,20,1917.08,1.35983
2012,10,11,16,25,1915.03,2.9906
2012,10,11,16,30,1917.73,3.01205
2012,10,11,16,35,1918.17,2.81191
2012,10,11,16,40,1924.42,3.01943
2012,10,11,16,45,1922.29,3.15382
2012,10,11,16,50,1926.72,2.98131
2012,10,11,16,55,1917.73,1.81599
2012,10,11,17,0,1925.9,1.57873
2012,10,11,17,5,1919.44,1.78526
2012,10,11,17,10,1914.55,2.36746
2012,10,11,17,15,1913.41,1.9804
2012,10,11,17,20,1912.41,3.27423
2012,10,11,17,25,1911.37,2.26844
2012,10,11,17,30,1914.66,1.94521
2012,10,11,17,35,1920.43,1.71786
2012,10,11,17,40,1915.25,2.80699
2012,10,11,17,45,1915.01,1.76415
2012,10,11,17,50,1913.24,1.22317
2012,10,11,17,55,1910.96,0.610347
2012,10,11,18,0,1912.76,1.37996
2012,10,11,18,5,1914.94,1.79063
2012,10,11,18,10,1911.77,1.80335
2012,10,11,18,15,1916.73,2.90584
2012,10,11,18,20,1916.51,2.57907
2012,10,11,18,25,1923.63,2.48444
2012,10,11,18,30,1917.51,2.43336
2012,10,11,18,35,1916.84,1.78877
2012,10,11,18,40,1918.95,1.73533
2012,10,11,18,45,1922.33,1.35475
2012,10,11,18,50,1914.62,0.525088
2012,10,11,18,55,1907.48,0.132201
2012,10,11,19,0,1911.55,1.42412
2012,10,11,19,5,1912.1,3.23833
2012,10,11,19,10,1909.86,2.88405
2012,10,11,19,15,1911.97,2.19468
2012,10,11,19,20,1912.68,1.13102
2012,10,11,19,25,1911.9,0.926473
2012,10,11,19,30,1912.11,1.54168
2012,10,11,19,35,1913.43,1.55219
2012,10,11,19,40,1916.22,1.81097
2012,10,11,19,45,1912.01,3.40515
2012,10,11,19,50,1916.55,4.0232
2012,10,11,19,55,1917.83,1.84113
2012,10,11,20,0,1920.07,1.80989
2012,10,11,20,5,1917.07,2.25728
2012,10,11,20,10,1915.41,1.89264
2012,10,11,20,15,1915.89,1.3096
2012,10,11,20,20,1916.07,1.69226
2012,10,11,20,25,1916.16,1.82052
2012,10,11,20,30,1925.98,3.19536
2012,10,11,20,35,1926.76,2.57178
2012,10,11,20,40,1923.27,2.39857
2012,10,11,20,45,1917.7,-0.312478
2012,10,11,20,50,1915.41,1.91325
2012,10,11,20,55,1914.9,2.67657
2012,10,11,21,0,1915.8,1.89092
2012,10,11,21,5,1929.81,2.23449
2012,10,11,21,10,1928.52,2.54616
2012,10,11,21,15,1931.65,3.85199
2012,10,11,21,20,1931.02,5.56457
2012,10,11,21,25,1933.7,4.71582
2012,10,11,21,30,1922.85,2.50079
2012,10,11,21,35,1921.17,2.50851
2012,10,11,21,40,1922.01,4.18559
2012,10,11,21,45,1927.63,4.19606
2012,10,11,21,50,1942.06,4.45052
2012,10,11,21,55,1940.81,3.41993
2012,10,11,22,0,1939.09,2.77093
2012,10,11,22,5,1933.69,4.48071
2012,10,11,22,10,1936.57,3.25724
2012,10,11,22,15,1946.09,2.95888
2012,10,11,22,20,1950.99,2.88439
2012,10,11,22,25,2017.15,6.33181
2012,10,11,22,30,2017.16,5.68523
2012,10,11,22,35,2012.58,3.7813
2012,10,11,22,40,2002.67,3.58806
2012,10,11,22,45,1996.64,3.13964
2012,10,11,22,50,2005.39,3.22113
2012,10,11,22,55,2002.26,3.32918
2012,10,11,23,0,2008.94,4.38073
2012,10,11,23,5,2018.94,6.70815
2012,10,11,23,10,2020.08,6.7073
2012,10,11,23,15,2020.95,6.97687
2012,10,11,23,20,2037.71,7.16991
2012,10,11,23,25,2066.09,6.96374
2012,10,11,23,30,2104.63,8.0873
2012,10,11,23,35,2069.98,7.43642
2012,10,11,23,40,2016.33,5.84467
2012,10,11,23,45,2031.83,5.95946
2012,10,11,23,50,2014.7,5.59911
2012,10,11,23,55,2036.81,6.01886
2012,10,12,0,0,2038.29,6.0555
2012,10,12,0,5,2047.89,6.85028
2012,10,12,0,10,2092.08,8.03301
2012,10,12,0,15,2136.12,9.95801
2012,10,12,0,20,2104.46,8.38832
2012,10,12,0,25,2114.5,7.83581
2012,10,12,0,30,2082.15,7.57144
2012,10,12,0,35,2049.41,4.72315
2012,10,12,0,40,2073.14,5.78282
2012,10,12,0,45,2179.88,8.71965
2012,10,12,0,50,2121.34,6.55742
2012,10,12,0,55,2098.01,6.30504
2012,10,12,1,0,2097.23,6.2319
2012,10,12,1,5,2095.63,6.49461
2012,10,12,1,10,2119.6,8.1941
2012,10,12,1,15,2075.71,5.92991
2012,10,12,1,20,2061.87,6.49059
2012,10,12,1,25,2118.65,6.73165
2012,10,12,1,30,2116.87,7.87197
2012,10,12,1,35,2101.91,7.6953
2012,10,12,1,40,2134.19,8.10343
2012,10,12,1,45,2150.24,8.57786
2012,10,12,1,50,2156.7,7.49505
2012,10,12,1,55,2178.92,10.0616
2012,10,12,2,0,2208.39,9.93463
2012,10,12,2,5,2229.82,11.7707
2012,10,12,2,10,2194.31,11.0984
2012,10,12,2,15,2143.13,8.3295
2012,10,12,2,20,2148.69,8.43933
2012,10,12,2,25,2194.7,9.58561
2012,10,12,2,30,2156.96,8.87872
2012,10,12,2,35,2133,8.47181
2012,10,12,2,40,2119.34,7.79014
2012,10,12,2,45,2134.7,8.69606
2012,10,12,2,50,2139.83,9.25183
2012,10,12,2,55,2119.61,8.64625
2012,10,12,3,0,2131.55,8.72595
2012,10,12,3,5,2144.08,7.2752
2012,10,12,3,10,2115.28,6.38498
2012,10,12,3,15,2067.3,5.58832
2012,10,12,3,20,2053.47,4.81016
2012,10,12,3,25,2057.24,4.47634
2012,10,12,3,30,2055.14,5.55819
2012,10,12,3,35,2041.14,5.34285
2012,10,12,3,40,2017.91,5.76272
2012,10,12,3,45,2006.9,5.59961
2012,10,12,3,50,1990.55,5.1187
2012,10,12,3,55,1986.81,5.03786
2012,10,12,4,0,1985.73,4.27913
2012,10,12,4,5,1986.36,2.37427
2012,10,12,4,10,1983.79,1.82329
2012,10,12,4,15,1978.81,1.55525
2012,10,12,4,20,1986.91,1.92293
2012,10,12,4,25,1983.52,2.32707
2012,10,12,4,30,1987.71,3.15654
2012,10,12,4,35,2005.13,4.5868
2012,10,12,4,40,1995.97,3.53282
2012,10,12,4,45,1995.67,4.72595
2012,10,12,4,50,1998.66,4.66543
2012,10,12,4,55,1995.2,4.00098
2012,10,12,5,0,2001.76,4.35241
2012,10,12,5,5,2005.52,5.3472
2012,10,12,5,10,2005.37,5.16754
2012,10,12,5,15,2013.28,5.07995
2012,10,12,5,20,2016.85,4.04291
2012,10,12,5,25,2010.5,3.55404
2012,10,12,5,30,2011.38,3.73606
2012,10,12,5,35,2015.69,4.14888
