Yr,Mn,Dy,Hr,Obs,Mod.enh,Bg_quant_0.05,Bg_quant_0.06,Bg_quant_0.07,Bg_quant_0.08,Bg_quant_0.09,Bg_quant_0.1,Bg_quant_0.11,Bg_quant_0.12,Bg_quant_0.13,Bg_quant_0.14,Bg_quant_0.15,Bg_quant_0.16,Bg_quant_0.17,Bg_quant_0.18,Bg_quant_0.19,Bg_quant_0.2,Bg_quant_0.21,Bg_quant_0.22,Bg_quant_0.23,Bg_quant_0.24,Bg_quant_0.25,Bg_quant_0.26,Bg_quant_0.27,Bg_quant_0.28,Bg_quant_0.29,Bg_quant_0.3,Bg_quant_0.31,Bg_quant_0.32,Bg_quant_0.33,Bg_quant_0.34,Bg_quant_0.35
2012,9,3,3,1967.68,26.3234,1893.82,1893.85,1893.94,1894.05,1894.17,1894.28,1894.38,1894.45,1894.61,1895.05,1895.48,1895.85,1896.23,1897.42,1898.63,1900.05,1901.51,1902.51,1903.32,1903.92,1904.37,1904.76,1905.09,1905.34,1905.42,1905.62,1906.23,1906.79,1906.84,1906.89,1907.04
2012,9,3,4,1980.69,53.1602,1893.83,1893.86,1893.94,1894.06,1894.17,1894.28,1894.37,1894.44,1894.59,1895.03,1895.46,1895.83,1896.21,1897.4,1898.61,1900.04,1901.5,1902.5,1903.31,1903.91,1904.36,1904.75,1905.09,1905.34,1905.43,1905.62,1906.23,1906.79,1906.83,1906.88,1907.02
2012,9,3,5,2119.2,81.0588,1893.76,1893.79,1893.87,1893.99,1894.1,1894.21,1894.3,1894.35,1894.49,1894.91,1895.33,1895.69,1896.06,1897.25,1898.46,1899.9,1901.38,1902.38,1903.2,1903.8,1904.26,1904.65,1904.99,1905.23,1905.31,1905.51,1906.11,1906.67,1906.72,1906.78,1906.93
2012,9,3,6,2119.23,22.3638,1893.57,1893.6,1893.68,1893.8,1893.91,1894.03,1894.13,1894.21,1894.38,1894.83,1895.27,1895.66,1896.05,1897.22,1898.4,1899.8,1901.23,1902.2,1902.99,1903.58,1904.03,1904.42,1904.76,1905.01,1905.1,1905.3,1905.86,1906.39,1906.47,1906.55,1906.68
2012,9,3,7,1982.84,12.3672,1891.23,1891.27,1891.35,1891.46,1891.58,1891.71,1891.83,1891.93,1892.11,1892.54,1892.96,1893.35,1893.73,1894.74,1895.76,1896.92,1898.11,1898.97,1899.7,1900.23,1900.62,1901,1901.37,1901.67,1901.83,1902.09,1902.68,1903.23,1903.29,1903.35,1903.48
2012,9,3,8,1987.26,6.55469,1889.03,1889.06,1889.14,1889.23,1889.33,1889.46,1889.58,1889.69,1889.85,1890.24,1890.63,1890.98,1891.33,1892.19,1893.06,1894.05,1895.06,1895.85,1896.55,1897.03,1897.36,1897.73,1898.14,1898.47,1898.68,1898.98,1899.61,1900.19,1900.25,1900.3,1900.41
2012,9,3,9,2040.6,17.3806,1889.74,1889.79,1889.87,1889.97,1890.09,1890.21,1890.33,1890.43,1890.6,1891,1891.4,1891.79,1892.17,1893.08,1894,1895.03,1896.08,1896.88,1897.58,1898.07,1898.42,1898.79,1899.18,1899.51,1899.71,1900,1900.62,1901.19,1901.25,1901.3,1901.43
2012,9,3,10,2004.53,45.5389,1889.66,1889.71,1889.79,1889.89,1890.01,1890.15,1890.28,1890.4,1890.59,1891.02,1891.45,1891.85,1892.26,1893.15,1894.05,1895.04,1896.05,1896.82,1897.5,1897.98,1898.31,1898.68,1899.07,1899.4,1899.61,1899.91,1900.52,1901.08,1901.14,1901.2,1901.33
2012,9,3,11,2052.43,37.7397,1888.99,1889.04,1889.12,1889.22,1889.35,1889.49,1889.64,1889.78,1890,1890.44,1890.89,1891.32,1891.76,1892.59,1893.44,1894.34,1895.25,1895.97,1896.62,1897.07,1897.38,1897.74,1898.14,1898.49,1898.73,1899.04,1899.64,1900.18,1900.25,1900.31,1900.44
2012,9,3,12,2046.22,73.973,1886.9,1886.94,1887.02,1887.1,1887.23,1887.39,1887.56,1887.72,1887.94,1888.35,1888.76,1889.15,1889.54,1890.23,1890.93,1891.67,1892.4,1893.06,1893.69,1894.09,1894.35,1894.7,1895.13,1895.51,1895.78,1896.13,1896.76,1897.34,1897.4,1897.46,1897.58
2012,9,3,13,2033.21,172.45,1882.65,1882.7,1882.76,1882.82,1882.93,1883.07,1883.2,1883.31,1883.46,1883.76,1884.05,1884.34,1884.64,1885.07,1885.5,1885.93,1886.36,1886.89,1887.47,1887.8,1887.97,1888.3,1888.81,1889.27,1889.62,1890.05,1890.78,1891.44,1891.49,1891.53,1891.62
2012,9,3,14,1939.74,120.409,1879.15,1879.2,1879.24,1879.28,1879.37,1879.52,1879.65,1879.74,1879.87,1880.08,1880.3,1880.5,1880.71,1880.91,1881.11,1881.27,1881.43,1881.87,1882.4,1882.67,1882.76,1883.08,1883.64,1884.16,1884.57,1885.07,1885.87,1886.6,1886.62,1886.65,1886.72
2012,9,3,15,1906.99,20.1417,1880.06,1880.11,1880.15,1880.19,1880.28,1880.43,1880.56,1880.66,1880.79,1881.03,1881.27,1881.5,1881.73,1881.99,1882.25,1882.49,1882.72,1883.19,1883.74,1884.03,1884.14,1884.46,1885.01,1885.5,1885.9,1886.38,1887.16,1887.87,1887.9,1887.93,1888
2012,9,3,16,1906.98,18.0296,1881.3,1881.34,1881.39,1881.44,1881.53,1881.67,1881.8,1881.9,1882.04,1882.29,1882.55,1882.78,1883.01,1883.33,1883.65,1883.99,1884.32,1884.82,1885.38,1885.7,1885.85,1886.18,1886.72,1887.2,1887.56,1888.01,1888.77,1889.47,1889.5,1889.54,1889.62
2012,9,3,17,1898.67,20.2955,1882.88,1882.93,1882.98,1883.03,1883.12,1883.26,1883.38,1883.47,1883.61,1883.89,1884.16,1884.41,1884.66,1885.02,1885.39,1885.8,1886.21,1886.73,1887.28,1887.61,1887.79,1888.13,1888.66,1889.13,1889.48,1889.91,1890.61,1891.25,1891.31,1891.38,1891.48
2012,9,3,18,1902.22,13.1896,1882.23,1882.28,1882.33,1882.38,1882.47,1882.6,1882.71,1882.8,1882.92,1883.17,1883.43,1883.65,1883.87,1884.17,1884.47,1884.82,1885.18,1885.66,1886.18,1886.49,1886.66,1887,1887.54,1888.02,1888.39,1888.83,1889.52,1890.15,1890.24,1890.32,1890.43
2012,9,3,19,1893.53,8.23705,1882.17,1882.22,1882.27,1882.31,1882.41,1882.54,1882.66,1882.75,1882.88,1883.14,1883.41,1883.64,1883.88,1884.17,1884.47,1884.81,1885.15,1885.5,1885.85,1886.17,1886.46,1886.77,1887.1,1887.45,1887.87,1888.3,1888.79,1889.28,1889.64,1890,1890.19
2012,9,3,20,1893.36,6.07736,1882.99,1883.04,1883.09,1883.14,1883.23,1883.36,1883.47,1883.56,1883.68,1883.95,1884.21,1884.45,1884.69,1885.03,1885.37,1885.73,1886.09,1886.41,1886.72,1887.06,1887.41,1887.72,1887.97,1888.26,1888.63,1889,1889.33,1889.67,1890.01,1890.34,1890.71
2012,9,3,21,1895,11.2018,1884.96,1885,1885.06,1885.13,1885.23,1885.36,1885.48,1885.61,1885.77,1886.04,1886.31,1886.64,1886.97,1887.28,1887.58,1887.98,1888.4,1888.72,1889.01,1889.29,1889.56,1889.84,1890.13,1890.4,1890.63,1890.87,1891.16,1891.45,1891.73,1892.01,1892.3
2012,9,3,22,1897.15,17.0634,1887.1,1887.14,1887.2,1887.27,1887.36,1887.47,1887.6,1887.77,1887.96,1888.22,1888.5,1888.95,1889.41,1889.67,1889.93,1890.41,1890.92,1891.25,1891.5,1891.71,1891.88,1892.11,1892.41,1892.69,1892.95,1893.18,1893.34,1893.5,1893.77,1894.04,1894.35
2012,9,3,23,1913.61,32.899,1891.28,1891.31,1891.37,1891.46,1891.54,1891.64,1891.79,1892.06,1892.32,1892.56,1892.84,1893.56,1894.27,1894.55,1894.82,1895.48,1896.21,1896.61,1896.89,1897.07,1897.17,1897.38,1897.7,1898.01,1898.29,1898.56,1898.72,1898.91,1899.24,1899.58,1899.89
